0.40, 1.738
0.45, 1.881
0.50, 2.078
0.55, 2.308
0.60, 2.542
0.65, 2.753
0.70, 2.932
0.75, 3.098
0.80, 3.374
0.90, 3.780
1.00, 4.171
1.10, 4.631
1.30, 5.510
1.50, 6.654
